ordine,file_name,title,dimensions
1,adria-sartore-2019017.jpg,Strawberries and Selfies,18 x 12
2,adria-sartore-2019018.jpg,Butterfly Girl,6 x 7.5
3,adria-sartore-2019019.jpg,After Fragonard,20 x 25
4,adria-sartore-2019020.jpg,After Blow Up,25 x 20
5,adria-sartore-2019021.jpg,The Green Beak,20 x 25
6,adria-sartore-2019022.jpg,The Green Lollipop,20 x 25
7,adria-sartore-2019023.jpg,Small Painting with Pink Hears,11 x 8
8,adria-sartore-2019024.jpg,The Red Dice,20 x 25
9,adria-sartore-2019029.jpg,Girl with Box,8 x 11
10,adria-sartore-2019025-026.jpg,Renaissance Diptych,11 x 8 each
11,adria-sartore-2019027.jpg,Pretty Baby in New Orleans,50 x 40
12,adria-sartore-2017005.jpg,Still life with Strawberries,25.5 x 20.5
13,adria-sartore-2018010.jpg,By the Cascade,27.8 x 35.6
14,adria-sartore-2014009.jpg,Pretty Baby at Harry's in SF,50 x 40
15,adria-sartore-2014003.jpg,We Serve Poison here,20 x 20
16,adria-sartore-2011001.jpg,Dominika,30 x 24
17,adria-sartore-2017002.jpg,Tudor, Candy Floss Eater,35.8 x 27.8
18,adria-sartore-2017003.jpg,Girl with Braids and Monkey,35.8 x 27.8
19,adria-sartore-2015003.jpg,I am an Instrument of Torture,30 x 40
20,adria-sartore-2015001.jpg,Please... I'm just Thinking,25 x 30
21,adria-sartore-2014002.jpg,Look at me in the Eyes,45 x 35
22,adria-sartore-2018019.jpg,Looking Pig,51 x 40.3
23,adria-sartore-2015004.jpg,Come Closer,12 x 9
24,adria-sartore-2018009.jpg,Mickey Mouse,17.5 x 12.5
25,adria-sartore-2018002.jpg,The Monkey on the Head,30 x 25
26,adria-sartore-2018004.jpg,The Mala,40 x 30
27,adria-sartore-2018032.jpg,untitled,61 x 45.7
28,adria-sartore-2018026.jpg,untitled,30 x 22.8
29,adria-sartore-2018003.jpg,Green Sleeves,35.5 x 28
30,adria-sartore-2018001.jpg,The Thread,28 x 23
31,adria-sartore-2018031.jpg,untitled,61 x 45.7
32,adria-sartore-2019003.jpg,The one-eyed princess,30 x 24
33,adria-sartore-2019028.jpg,The one-eyed princess 2,11 x 8
34,adria-sartore-2018027.jpg,untitled,45.7 x 61
35,adria-sartore-2018028.jpg,untitled,30 X 20
36,adria-sartore-2019005.jpg,Notre Dame de Paris,15 x 20
37,adria-sartore-2013001.jpg,Who's afraid of Red, Yellow and Blue?,17 x 14
38,adria-sartore-2018025.jpg,untitled,38 x 28
